MSWM,legg,LM Large Cap Growth ESG Balanced Taxable 70/30 SMA,AL,Allocation - 70% to 85% Equity,13.43255173,17.33943177,19.45642084,19.91879819,20.86407826,20.22486553,20.56866984,20.10172391,20.82418170,0.93396273,3.83529340,1.55849089,0.52063306,0.21994683,-1.25684397,-0.49087218,-1.66752149,0.56657854,15.64695771,19.43511193,21.58416932,21.91728217,20.86407826,20.22486553,20.56866984,20.10172391,20.82418170,0.88714802,3.68908876,1.54526236,0.31671902,-1.48661578,-1.25684397,-0.49087218,-1.66752149,0.56657854,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1
MSWM,legg,LM Large Cap Value ESG Balanced Taxable 70/30 SMA,AL,Allocation - 70% to 85% Equity,2.21440598,2.09568016,2.12774848,1.99848398,,,,,,-0.04681471,-0.14620464,-0.01322853,-0.20391404,,,,,,15.64695771,19.43511193,21.58416932,21.91728217,,,,,,0.88714802,3.68908876,1.54526236,0.31671902,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,
MSWM,legg,CBI All Cap Value ESG Catholic SMA,all-cap,All-Cap,0.21460961,0.16466691,0.17548016,0.18743882,,,,,,-0.00064629,-0.05463939,0.01068265,-0.00052869,,,,,,184.37856981,184.80189605,184.25159765,188.59323682,,,,,,-2.50064629,-3.05463939,-6.88931735,-0.00052869,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,1,2,1,2,1,2,1,1,,,,,,,,,,
MSWM,lord,Multi Cap Value,all-cap,All-Cap,184.16396020,184.63722914,184.07611749,188.40579800,187.21401000,193.80206900,194.29987700,199.00001000,187.63108900,-2.50000000,-3.00000000,-6.90000000,,,,,,,184.37856981,184.80189605,184.25159765,188.59323682,187.21401000,193.80206900,194.29987700,199.00001000,187.63108900,-2.50064629,-3.05463939,-6.88931735,,,,,,,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,
MSWM,bran,Enhanced Income,CA,Allocation - 30% to 50% Equity,1.27463156,1.30128746,1.32152648,1.32776145,2.30078334,3.72931300,3.80342081,3.81256228,4.10314020,,-0.00600000,-0.01200000,0.00612014,-0.02000000,0.85737500,0.00006638,-0.03405300,0.33688700,31.79024094,32.97213651,32.74336298,32.78090617,36.31542878,40.33473169,42.95469115,44.56136102,43.18740443,,0.11861935,-0.56036665,0.36448953,2.00406720,3.01580128,1.82234219,0.17920736,-0.38095064,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2
MSWM,legg,LM Dividend Strategy Balanced TF 60/40 SMA,CA,Allocation - 30% to 50% Equity,30.51560938,31.67084905,31.42183650,31.45314472,34.01464544,36.60541869,39.15127034,40.74879874,39.08426423,-3.37277050,0.12461935,-0.54836665,0.35836939,2.02406720,2.15842628,1.82227581,0.21326036,-0.71783764,31.79024094,32.97213651,32.74336298,32.78090617,36.31542878,40.33473169,42.95469115,44.56136102,43.18740443,-3.37277050,0.11861935,-0.56036665,0.36448953,2.00406720,3.01580128,1.82234219,0.17920736,-0.38095064,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2
MSWM,bran,Core Plus Fixed Income,CI,Intermediate-Term Bond,10.04612550,6.09530983,5.33718532,5.40330168,5.54542407,5.46365200,5.58795116,5.58460833,5.22587091,0.07656400,-0.34534858,-0.13687084,0.17565010,0.03489801,-0.13798956,0.08006489,0.02324048,-0.31592148,2408.48215285,2680.41807061,2918.15779470,2979.50571443,3264.07705082,3568.13007229,3855.37074160,4178.02480419,4477.82037571,96.30637205,167.41092078,266.98188483,168.96961950,153.19681770,192.01385346,228.81263273,282.14402248,340.47194007,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,5,10,8,10,8,10,6,10,6,10,4,10,7,10,6,10,6,10
MSWM,fran,Franklin Intermediate Fixed SMA,CI,Intermediate-Term Bond,118.85931400,116.84954995,114.09358300,110.62829500,106.33880700,103.70936000,104.97780064,101.79281290,97.60410435,-1.04992238,-4.06790713,-2.03154127,-0.49891926,-4.74205592,-3.70365775,-0.58155497,-1.48487893,-2.76145794,2408.48215285,2680.41807061,2918.15779470,2979.50571443,3264.07705082,3568.13007229,3855.37074160,4178.02480419,4477.82037571,96.30637205,167.41092078,266.98188483,168.96961950,153.19681770,192.01385346,228.81263273,282.14402248,340.47194007,4,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,8,10,10,10,10,10,10,10,10,10,8,10,10,10,9,10,8,10
MSWM,gwnk,Core Bond,CI,Intermediate-Term Bond,16.08800988,16.58654472,16.34031739,15.67924887,15.73682315,15.75871640,15.83812765,14.94240619,14.44142873,-0.39412556,0.15274644,-0.32588056,-0.07211773,-0.02076530,-0.20928837,-0.02089802,-0.93922341,-0.20833361,2408.48215285,2680.41807061,2918.15779470,2979.50571443,3264.07705082,3568.13007229,3855.37074160,4178.02480419,4477.82037571,96.30637205,167.41092078,266.98188483,168.96961950,153.19681770,192.01385346,228.81263273,282.14402248,340.47194007,9,11,9,11,9,11,9,11,9,11,9,11,9,11,9,11,9,11,7,10,6,10,9,10,8,10,7,10,5,10,9,10,8,10,5,10
MSWM,gwnk,Enhanced Core Bond,CI,Intermediate-Term Bond,6.34800137,3.88399068,3.91700788,3.74963782,2.92630250,2.54404075,2.55334294,2.49971878,1.03854242,-0.06888399,-2.55676527,-0.00860303,-0.04270504,-0.84354886,-0.42556232,-0.01150870,-0.06138276,-1.40160077,2408.48215285,2680.41807061,2918.15779470,2979.50571443,3264.07705082,3568.13007229,3855.37074160,4178.02480419,4477.82037571,96.30637205,167.41092078,266.98188483,168.96961950,153.19681770,192.01385346,228.81263273,282.14402248,340.47194007,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,10,9,10,7,10,7,10,8,10,6,10,8,10,7,10,7,10
